epoch,train_loss,train_acc,val_loss,val_acc,F1_score,Ι,Θ,Κ,Λ,C moon-shaped sigma,V = Y,Α,Ε,Η,Τ,Ρ = rho,Ο,bg,Ν,ω,Γ,Π,R = βῆτα,Φ,ligature OU,Croisette,Μ,Δ,Χ,S = καί
36,0.011709325404531717,0.9967191815376282,0.3929831061316654,0.896,0.8631821738404958,1.0,1.0,0.9,1.0,0.9375,0.8571428571428571,0.8695652173913043,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.9230769230769231,1.0,0.5,1.0,0.5714285714285714,1.0,0.4,0.9,0.5,1.0,0.5,1.0
37,0.009882953885202193,0.9993438124656677,0.3902029363960028,0.9,0.8771775108032928,1.0,1.0,0.9,1.0,0.9375,0.7142857142857143,0.8695652173913043,0.9230769230769231,1.0,1.0,0.8,0.8823529411764706,0.9411764705882353,0.8461538461538461,1.0,0.8333333333333334,1.0,0.7142857142857143,1.0,0.6,0.9,0.5,1.0,0.5,1.0
38,0.006811895414286573,1.0,0.3962439858813304,0.888,0.8647369408369409,1.0,1.0,0.9,0.75,0.875,0.8571428571428571,0.9130434782608695,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.7692307692307693,1.0,0.6666666666666666,1.0,0.5714285714285714,1.0,0.6,0.9,0.5,1.0,0.5,1.0
39,0.007242234574775688,0.9986876845359802,0.3849005141919479,0.888,0.8551600737221722,1.0,1.0,0.9,0.75,0.8125,1.0,0.8260869565217391,1.0,1.0,1.0,0.8666666666666667,0.8823529411764706,0.9411764705882353,1.0,1.0,0.3333333333333333,1.0,0.5714285714285714,1.0,0.6,0.9,0.5,1.0,0.5,1.0
40,0.007612234853077288,0.9993438124656677,0.39668558490811845,0.896,0.8712456848128355,1.0,1.0,0.9,1.0,0.9375,0.8571428571428571,0.8695652173913043,0.9230769230769231,1.0,1.0,0.8,0.8823529411764706,0.9411764705882353,0.8461538461538461,1.0,0.6666666666666666,1.0,0.7142857142857143,0.8,0.6,0.9,0.5,1.0,0.5,1.0
41,0.005900328348666443,1.0,0.3958811202291399,0.884,0.8511665906270558,1.0,1.0,0.9,1.0,0.9375,1.0,0.8260869565217391,0.9230769230769231,1.0,1.0,0.8666666666666667,0.8823529411764706,0.9411764705882353,0.7692307692307693,1.0,0.5,1.0,0.42857142857142855,0.8,0.6,0.9,0.5,1.0,0.5,1.0
42,0.008689390591611099,0.9986876845359802,0.3967294730052818,0.872,0.8508654474295596,1.0,1.0,0.9,1.0,0.8125,0.7142857142857143,0.8260869565217391,1.0,1.0,0.9285714285714286,0.8,0.8235294117647058,0.9411764705882353,0.7692307692307693,1.0,0.5,1.0,0.7142857142857143,1.0,0.6,0.9,0.5,1.0,0.5,1.0
43,0.010022084740112142,0.9986876845359802,0.43622148942342026,0.872,0.8417421696103226,1.0,1.0,0.9,1.0,0.8125,0.7142857142857143,0.9130434782608695,0.8461538461538461,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.7692307692307693,1.0,0.5,1.0,0.7142857142857143,0.8,0.4,0.9,0.5,1.0,0.5,1.0
44,0.01069696775672782,0.9993438124656677,0.40458807048923334,0.864,0.8314875771662025,1.0,1.0,0.9,1.0,0.875,0.7142857142857143,0.782608695652174,0.9230769230769231,1.0,1.0,0.8,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.6666666666666666,1.0,0.42857142857142855,0.8,0.6,0.9,0.25,1.0,0.5,1.0
45,0.010968858506205492,0.9986876845359802,0.4050823974516243,0.876,0.8250494097841323,1.0,1.0,0.9,1.0,0.9375,0.8571428571428571,0.8260869565217391,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.5714285714285714,0.8,0.2,0.9,0.25,1.0,0.5,1.0
46,0.007704500262134341,0.9993438124656677,0.43485567523539065,0.864,0.8266456713491198,1.0,0.8333333333333334,0.9,1.0,0.875,0.7142857142857143,0.782608695652174,1.0,1.0,0.9285714285714286,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.9230769230769231,1.0,0.5,1.0,0.42857142857142855,0.8,0.4,0.9,0.5,1.0,0.5,1.0
47,0.005651661492793257,1.0,0.41695362426899374,0.872,0.8395675586439593,1.0,1.0,0.9,0.875,0.875,0.7142857142857143,0.782608695652174,1.0,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.5,1.0,0.5714285714285714,0.8,0.6,0.9,0.5,1.0,0.5,1.0
48,0.0070729946326589695,0.9993438124656677,0.4247339571448465,0.868,0.8353465020458759,1.0,1.0,0.9,1.0,0.9375,0.7142857142857143,0.7391304347826086,0.9230769230769231,1.0,1.0,0.8,0.8823529411764706,0.9411764705882353,0.8461538461538461,1.0,0.6666666666666666,1.0,0.42857142857142855,0.8,0.6,0.9,0.25,1.0,0.5,1.0
49,0.011659768914741683,0.998031497001648,0.4180770313362591,0.872,0.8331066985191498,1.0,1.0,0.9,0.75,0.9375,0.8571428571428571,0.8695652173913043,0.9230769230769231,1.0,1.0,0.8666666666666667,0.8235294117647058,0.9411764705882353,0.8461538461538461,1.0,0.6666666666666666,1.0,0.2857142857142857,0.8,0.4,0.9,0.5,1.0,0.5,1.0
