               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.037407,            0.020712,                   0,             0.75644,             0.77642,             0.80533,             0.26826,            0.046222,            0.023745,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.047247,            0.021481,                   0,             0.76907,             0.81507,             0.85662,             0.36685,            0.034371,            0.024307,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.039845,            0.021346,                   0,             0.86349,             0.87329,             0.93439,             0.50756,            0.032494,            0.024141,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.037471,            0.021096,                   0,             0.73948,             0.67072,             0.78196,              0.4203,            0.034269,            0.024298,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.046599,            0.023251,                   0,             0.58643,              0.7363,             0.66296,             0.21853,            0.051365,            0.023534,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.046733,            0.020782,                   0,             0.71314,             0.74658,             0.80117,             0.43496,             0.04017,            0.023761,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.040244,            0.024034,                   0,              0.8593,             0.77397,             0.88234,             0.38616,            0.036433,            0.024107,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.040567,            0.020299,                   0,             0.44116,             0.83562,             0.51682,             0.18026,            0.040275,             0.02352,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.044624,            0.023031,                   0,             0.63569,             0.83904,             0.69747,             0.32528,            0.035775,            0.023876,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.037307,            0.023385,                   0,              0.7389,             0.88356,             0.85534,             0.42855,            0.032387,            0.024168,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.039752,            0.021245,                   0,             0.70974,             0.78717,             0.80517,             0.38262,            0.038562,            0.023694,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.043258,            0.022317,                   0,              0.8685,              0.8595,             0.92562,             0.51565,            0.032279,            0.023657,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.037901,            0.021882,                   0,              0.9116,             0.88699,             0.93779,             0.51446,            0.029259,            0.023823,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.036714,            0.022682,                   0,             0.75238,             0.80137,             0.85317,             0.41839,            0.042992,            0.023163,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.042577,            0.020374,                   0,             0.88701,              0.7259,             0.86256,             0.50407,             0.03278,            0.022966,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.037931,            0.023533,                   0,             0.90842,             0.88321,             0.92107,             0.45416,            0.034163,            0.023358,                   0,            0.006502,            0.006502,            0.006502
                  55,             0.03656,            0.023189,                   0,             0.92634,             0.90753,              0.9437,             0.55738,            0.028585,             0.02343,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.038645,            0.020863,                   0,             0.90656,             0.89711,             0.92928,             0.34894,            0.040823,            0.022501,                   0,             0.00637,             0.00637,             0.00637
